NAME,DATE,PRCP,SNOW,State,Year,Value,STATION,LATITUDE,LONGITUDE,ELEVATION,AWND,FMTM,PGTM,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT08,WT13,WT16,WT21,WT22,Flood,High Wind,Heat,Strong Wind,Frost/Freeze,Heavy Rain,Drought
"SANTA ROSA SONOMA CO AIRPORT, CA US",01/01/2007,0.0,0.0,CALIFORNIA,2007.0,"16,800",USW00023213,38.50369,-122.81101,36.2,4.03,2136.0,1954.0,68.0,31.0,340.0,330.0,12.1,14.1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
"SANTA ROSA SONOMA CO AIRPORT, CA US",02/01/2007,0.0,0.0,CALIFORNIA,2007.0,"16,800",USW00023213,38.50369,-122.81101,36.2,1.34,152.0,154.0,60.0,39.0,270.0,270.0,8.1,8.1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
"SANTA ROSA SONOMA CO AIRPORT, CA US",03/01/2007,0.1,0.0,CALIFORNIA,2007.0,"16,800",USW00023213,38.50369,-122.81101,36.2,2.24,1612.0,1539.0,56.0,35.0,160.0,180.0,10.1,14.1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
"SANTA ROSA SONOMA CO AIRPORT, CA US",04/01/2007,0.02,0.0,CALIFORNIA,2007.0,"16,800",USW00023213,38.50369,-122.81101,36.2,11.41,1736.0,1735.0,55.0,41.0,290.0,280.0,25.1,33.1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
"SANTA ROSA SONOMA CO AIRPORT, CA US",05/01/2007,0.0,0.0,CALIFORNIA,2007.0,"16,800",USW00023213,38.50369,-122.81101,36.2,9.84,35.0,158.0,56.0,33.0,300.0,320.0,19.9,25.1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
"SANTA ROSA SONOMA CO AIRPORT, CA US",06/01/2007,0.0,0.0,CALIFORNIA,2007.0,"16,800",USW00023213,38.50369,-122.81101,36.2,8.5,1402.0,1340.0,60.0,33.0,290.0,300.0,17.9,23.0,1,1,1,1,1,1,1,0,0,0,0,1,0,0
"SANTA ROSA SONOMA CO AIRPORT, CA US",07/01/2007,0.0,0.0,CALIFORNIA,2007.0,"16,800",USW00023213,38.50369,-122.81101,36.2,4.47,1400.0,1227.0,65.0,35.0,340.0,330.0,10.1,13.0,1,1,1,1,1,1,1,0,0,0,0,1,0,0
"SANTA ROSA SONOMA CO AIRPORT, CA US",08/01/2007,0.0,0.0,CALIFORNIA,2007.0,"16,800",USW00023213,38.50369,-122.81101,36.2,2.01,535.0,533.0,63.0,31.0,280.0,280.0,10.1,12.1,1,1,1,1,1,1,1,0,0,0,0,1,0,0
"SANTA ROSA SONOMA CO AIRPORT, CA US",09/01/2007,0.0,0.0,CALIFORNIA,2007.0,"16,800",USW00023213,38.50369,-122.81101,36.2,0.0,1540.0,1539.0,64.0,30.0,140.0,140.0,6.9,8.1,1,1,1,1,1,1,1,0,0,0,0,1,0,0
"SANTA ROSA SONOMA CO AIRPORT, CA US",10/01/2007,0.0,0.0,CALIFORNIA,2007.0,"16,800",USW00023213,38.50369,-122.81101,36.2,5.37,1359.0,1354.0,56.0,32.0,300.0,310.0,21.0,25.1,1,1,1,1,1,1,1,0,0,0,0,1,0,0
"SANTA ROSA SONOMA CO AIRPORT, CA US",11/01/2007,0.0,0.0,CALIFORNIA,2007.0,"16,800",USW00023213,38.50369,-122.81101,36.2,8.95,1413.0,1413.0,51.0,33.0,280.0,280.0,19.9,23.0,1,1,1,1,1,1,1,0,0,0,0,1,0,0
"SANTA ROSA SONOMA CO AIRPORT, CA US",12/01/2007,0.0,0.0,CALIFORNIA,2007.0,"16,800",USW00023213,38.50369,-122.81101,36.2,9.17,1000.0,959.0,49.0,25.0,10.0,10.0,21.9,29.1,1,1,1,1,1,1,1,0,0,0,0,1,0,0
"SANTA ROSA SONOMA CO AIRPORT, CA US",13/01/2007,0.0,0.0,CALIFORNIA,2007.0,"16,800",USW00023213,38.50369,-122.81101,36.2,4.25,1628.0,1636.0,53.0,21.0,230.0,240.0,13.0,14.1,1,1,1,1,1,1,1,0,0,0,0,1,0,0
"SANTA ROSA SONOMA CO AIRPORT, CA US",14/01/2007,0.0,0.0,CALIFORNIA,2007.0,"16,800",USW00023213,38.50369,-122.81101,36.2,3.58,1443.0,1442.0,56.0,22.0,20.0,20.0,15.0,17.9,1,1,1,1,1,1,1,0,0,0,0,1,0,0
"SANTA ROSA SONOMA CO AIRPORT, CA US",15/01/2007,0.0,0.0,CALIFORNIA,2007.0,"16,800",USW00023213,38.50369,-122.81101,36.2,2.91,1635.0,1635.0,57.0,20.0,230.0,220.0,10.1,12.1,1,1,1,1,1,1,1,0,0,0,0,1,0,0
"SANTA ROSA SONOMA CO AIRPORT, CA US",16/01/2007,0.06,0.0,CALIFORNIA,2007.0,"16,800",USW00023213,38.50369,-122.81101,36.2,2.24,2315.0,2315.0,52.0,22.0,330.0,330.0,12.1,15.0,1,1,1,1,1,1,1,0,0,0,0,1,0,0
"SANTA ROSA SONOMA CO AIRPORT, CA US",17/01/2007,0.0,0.0,CALIFORNIA,2007.0,"16,800",USW00023213,38.50369,-122.81101,36.2,4.92,1517.0,1514.0,65.0,30.0,30.0,40.0,13.0,16.1,1,1,1,1,1,1,1,0,0,0,0,1,0,0
"SANTA ROSA SONOMA CO AIRPORT, CA US",18/01/2007,0.0,0.0,CALIFORNIA,2007.0,"16,800",USW00023213,38.50369,-122.81101,36.2,1.57,1519.0,1519.0,61.0,24.0,140.0,130.0,10.1,12.1,1,1,1,1,1,1,1,0,0,0,0,1,0,0
"SANTA ROSA SONOMA CO AIRPORT, CA US",19/01/2007,0.0,0.0,CALIFORNIA,2007.0,"16,800",USW00023213,38.50369,-122.81101,36.2,1.34,1446.0,1442.0,58.0,26.0,150.0,140.0,6.0,6.9,1,1,1,1,1,1,1,0,0,0,0,1,0,0
"SANTA ROSA SONOMA CO AIRPORT, CA US",20/01/2007,0.0,0.0,CALIFORNIA,2007.0,"16,800",USW00023213,38.50369,-122.81101,36.2,6.71,1212.0,1000.0,64.0,30.0,320.0,300.0,17.0,25.9,1,1,1,1,1,1,1,0,0,0,0,0,0,0
"SANTA ROSA SONOMA CO AIRPORT, CA US",21/01/2007,0.0,0.0,CALIFORNIA,2007.0,"16,800",USW00023213,38.50369,-122.81101,36.2,7.16,1119.0,1118.0,68.0,38.0,330.0,330.0,13.0,15.0,1,1,1,1,1,1,1,0,0,0,0,0,0,0
"SANTA ROSA SONOMA CO AIRPORT, CA US",22/01/2007,0.0,0.0,CALIFORNIA,2007.0,"16,800",USW00023213,38.50369,-122.81101,36.2,2.91,9.0,1553.0,65.0,29.0,320.0,240.0,12.1,13.0,1,1,1,1,1,1,1,0,0,0,0,0,0,0
"SANTA ROSA SONOMA CO AIRPORT, CA US",23/01/2007,0.0,0.0,CALIFORNIA,2007.0,"16,800",USW00023213,38.50369,-122.81101,36.2,2.01,1738.0,1730.0,62.0,27.0,160.0,150.0,6.9,8.1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
