NAME,DATE,PRCP,SNOW,State,Year,Value,STATION,LATITUDE,LONGITUDE,ELEVATION,SNWD,WESD,AWND,FMTM,PGTM,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT03,WT06,WT08,WT09,Flood,Hail,High Wind,Frost/Freeze,Strong Wind
"MUSKEGON CO AIRPORT, MI US",1/1/2007,0.01,0,MICHIGAN,2007,"21,400",USW00014840,43.17111,-86.23685,190.3,0,0,12.19,1388.5,1439.5,22,-1,215,220,27.05,32.95,1,1,1,1,1,1,0,0,0,0,0
"MUSKEGON CO AIRPORT, MI US",2/1/2007,0,0,MICHIGAN,2007,"21,400",USW00014840,43.17111,-86.23685,190.3,0,0,14.54,1157.5,1075,30,13,250,245,24.9,31.55,1,1,1,1,1,1,0,0,0,0,0
"MUSKEGON CO AIRPORT, MI US",3/1/2007,0,0,MICHIGAN,2007,"21,400",USW00014840,43.17111,-86.23685,190.3,0,0,21.14,1142,1096.5,28.33333333,-6.666666667,160,160,35,46.55,1,1,1,1,1,1,0,0,0,0,0
"MUSKEGON CO AIRPORT, MI US",4/1/2007,0.04,0,MICHIGAN,2007,"21,400",USW00014840,43.17111,-86.23685,190.3,0,0,13.81,1232,1231.75,58,42,232.5,230,28.575,37,1,1,1,1,1,1,0,0,0,0,0
"MUSKEGON CO AIRPORT, MI US",5/1/2007,0,0,MICHIGAN,2007,"21,400",USW00014840,43.17111,-86.23685,190.3,0,0,6.563333333,920.3333333,1805.666667,55,40,183.3333333,273.3333333,19,21.96666667,1,1,1,1,1,1,0,0,0,0,0
"MUSKEGON CO AIRPORT, MI US",6/1/2007,0,0,MICHIGAN,2007,"21,400",USW00014840,43.17111,-86.23685,190.3,0,0,5.37,1820.5,1817.5,86,60,240,230,17.55,22.5,1,1,1,1,1,1,0,0,0,0,0
"MUSKEGON CO AIRPORT, MI US",7/1/2007,0.07,0,MICHIGAN,2007,"21,400",USW00014840,43.17111,-86.23685,190.3,0,0,6.86,1317.333333,1317.333333,54,47,286.6666667,283.3333333,14.33333333,16.93333333,1,1,1,1,1,1,0,0,0,0,0
"MUSKEGON CO AIRPORT, MI US",8/1/2007,0.13,0.4,MICHIGAN,2007,"21,400",USW00014840,43.17111,-86.23685,190.3,0,0,5.07,1573.333333,1507.333333,80,51,203.3333333,183.3333333,17.6,25.63333333,1,1,1,1,1,1,0,0,0,0,0
"MUSKEGON CO AIRPORT, MI US",9/1/2007,0,0,MICHIGAN,2007,"21,400",USW00014840,43.17111,-86.23685,190.3,0,0,4.388,1541.8,1288.6,68,43.5,242,224,11.78,16.2,1,1,1,1,1,1,0,0,0,0,0
"MUSKEGON CO AIRPORT, MI US",10/1/2007,0,0,MICHIGAN,2007,"21,400",USW00014840,43.17111,-86.23685,190.3,0,0,8.05,256,256,74,54,230,220,25.9,36,1,1,1,1,1,1,0,0,0,0,0
"MUSKEGON CO AIRPORT, MI US",11/1/2007,0.11,0,MICHIGAN,2007,"21,400",USW00014840,43.17111,-86.23685,190.3,0,0,9.35,710,666.6,57.5,33,246,264,22.2,29.24,1,1,1,1,1,1,0,0,0,0,0
"MUSKEGON CO AIRPORT, MI US",12/1/2007,0.06,0,MICHIGAN,2007,"21,400",USW00014840,43.17111,-86.23685,190.3,0,0,13.27333333,2105.333333,1379.666667,25,8,180,166.6666667,29.7,40,1,1,1,1,1,1,0,0,0,0,0
"MUSKEGON CO AIRPORT, MI US",13/1/2007,0,0,MICHIGAN,2007,"21,400",USW00014840,43.17111,-86.23685,190.3,0,0,13.27333333,2105.333333,1379.666667,25,8,180,166.6666667,29.7,40,1,1,1,1,1,1,0,0,0,0,0
"MUSKEGON CO AIRPORT, MI US",14/1/2007,0.19,0.9,MICHIGAN,2007,"21,400",USW00014840,43.17111,-86.23685,190.3,0,0,13.27333333,2105.333333,1379.666667,25,8,180,166.6666667,29.7,40,1,1,1,1,1,1,0,0,0,0,0
"MUSKEGON CO AIRPORT, MI US",15/1/2007,0.44,4.1,MICHIGAN,2007,"21,400",USW00014840,43.17111,-86.23685,190.3,4,0,13.27333333,2105.333333,1379.666667,25,8,180,166.6666667,29.7,40,1,1,1,1,1,1,0,0,0,0,0
"MUSKEGON CO AIRPORT, MI US",16/1/2007,0,0,MICHIGAN,2007,"21,400",USW00014840,43.17111,-86.23685,190.3,5,0,13.27333333,2105.333333,1379.666667,25,8,180,166.6666667,29.7,40,1,1,1,1,1,1,0,0,0,0,0
"MUSKEGON CO AIRPORT, MI US",17/1/2007,0,0,MICHIGAN,2007,"21,400",USW00014840,43.17111,-86.23685,190.3,4,0,13.27333333,2105.333333,1379.666667,25,8,180,166.6666667,29.7,40,1,1,1,1,1,1,0,0,0,0,0
"MUSKEGON CO AIRPORT, MI US",18/1/2007,0.15,2.8,MICHIGAN,2007,"21,400",USW00014840,43.17111,-86.23685,190.3,5,0,13.27333333,2105.333333,1379.666667,25,8,180,166.6666667,29.7,40,1,1,1,1,1,1,0,0,0,0,0
"MUSKEGON CO AIRPORT, MI US",19/1/2007,0.04,0.7,MICHIGAN,2007,"21,400",USW00014840,43.17111,-86.23685,190.3,7,0,13.27333333,2105.333333,1379.666667,25,8,180,166.6666667,29.7,40,1,1,1,1,1,1,0,0,0,0,0
"MUSKEGON CO AIRPORT, MI US",20/1/2007,0.02,0.3,MICHIGAN,2007,"21,400",USW00014840,43.17111,-86.23685,190.3,6,0,13.27333333,2105.333333,1379.666667,25,8,180,166.6666667,29.7,40,1,1,1,1,1,1,0,0,0,0,0
"MUSKEGON CO AIRPORT, MI US",21/1/2007,0.14,1.6,MICHIGAN,2007,"21,400",USW00014840,43.17111,-86.23685,190.3,6,0,13.27333333,2105.333333,1379.666667,25,8,180,166.6666667,29.7,40,1,1,1,1,1,1,0,0,0,0,0
"MUSKEGON CO AIRPORT, MI US",22/1/2007,0.05,0.6,MICHIGAN,2007,"21,400",USW00014840,43.17111,-86.23685,190.3,7,0,13.27333333,2105.333333,1379.666667,25,8,180,166.6666667,29.7,40,1,1,1,1,1,1,0,0,0,0,0
"MUSKEGON CO AIRPORT, MI US",23/1/2007,0,0,MICHIGAN,2007,"21,400",USW00014840,43.17111,-86.23685,190.3,6,0,13.27333333,2105.333333,1379.666667,25,8,180,166.6666667,29.7,40,1,1,1,1,1,1,0,0,0,0,0
"MUSKEGON CO AIRPORT, MI US",24/1/2007,0.05,0.5,MICHIGAN,2007,"21,400",USW00014840,43.17111,-86.23685,190.3,6,0,13.27333333,2105.333333,1379.666667,25,8,180,166.6666667,29.7,40,1,1,1,1,1,1,0,0,0,0,0
"MUSKEGON CO AIRPORT, MI US",25/1/2007,0.05,0.8,MICHIGAN,2007,"21,400",USW00014840,43.17111,-86.23685,190.3,6,0,13.27333333,2105.333333,1379.666667,25,8,180,166.6666667,29.7,40,1,1,1,1,1,1,0,0,0,0,0
"MUSKEGON CO AIRPORT, MI US",26/1/2007,0,0,MICHIGAN,2007,"21,400",USW00014840,43.17111,-86.23685,190.3,7,0,13.27333333,2105.333333,1379.666667,25,8,180,166.6666667,29.7,40,1,1,1,1,1,1,0,0,0,0,0
"MUSKEGON CO AIRPORT, MI US",27/1/2007,0.01,0.1,MICHIGAN,2007,"21,400",USW00014840,43.17111,-86.23685,190.3,5,0,13.27333333,2105.333333,1379.666667,25,8,180,166.6666667,29.7,40,1,1,1,1,1,1,0,0,0,0,0
"MUSKEGON CO AIRPORT, MI US",28/1/2007,0,0,MICHIGAN,2007,"21,400",USW00014840,43.17111,-86.23685,190.3,5,0,13.27333333,2105.333333,1379.666667,25,8,180,166.6666667,29.7,40,1,1,1,1,1,1,0,0,0,0,0
"MUSKEGON CO AIRPORT, MI US",29/1/2007,0.23,4.6,MICHIGAN,2007,"21,400",USW00014840,43.17111,-86.23685,190.3,4,0,13.27333333,2105.333333,1379.666667,25,8,180,166.6666667,29.7,40,1,1,1,1,1,1,0,0,0,0,0
"MUSKEGON CO AIRPORT, MI US",30/1/2007,0.15,2.4,MICHIGAN,2007,"21,400",USW00014840,43.17111,-86.23685,190.3,10,0,13.27333333,2105.333333,1379.666667,25,8,180,166.6666667,29.7,40,1,1,1,1,1,1,0,0,0,0,0
"MUSKEGON CO AIRPORT, MI US",31/1/2007,0,0,MICHIGAN,2007,"21,400",USW00014840,43.17111,-86.23685,190.3,11,0,13.27333333,2105.333333,1379.666667,25,8,180,166.6666667,29.7,40,1,1,1,1,1,1,0,0,0,0,0
"MUSKEGON CO AIRPORT, MI US",1/2/2007,0.07,1.1,MICHIGAN,2007,"21,400",USW00014840,43.17111,-86.23685,190.3,9,0,11.898,2249.8,2314,46,24.5,210,210,24,27.7,1,1,1,1,1,1,0,0,0,0,0
"MUSKEGON CO AIRPORT, MI US",2/2/2007,0.04,0.7,MICHIGAN,2007,"21,400",USW00014840,43.17111,-86.23685,190.3,9,0,17.22666667,1534,1658.333333,16.5,-8,286.6666667,270,27.36666667,33.93333333,1,1,1,1,1,1,0,0,0,0,0
"MUSKEGON CO AIRPORT, MI US",3/2/2007,0.25,7.1,MICHIGAN,2007,"21,400",USW00014840,43.17111,-86.23685,190.3,9,0,22.73,1391.2,1329.8,35,27,232,232,34.3,44.7,1,1,1,1,1,1,0,0,0,0,0
"MUSKEGON CO AIRPORT, MI US",4/2/2007,0.08,2.6,MICHIGAN,2007,"21,400",USW00014840,43.17111,-86.23685,190.3,16,0,9.47,768,768,67,41,220,213.3333333,22.63333333,29.7,1,1,1,1,1,1,0,0,0,0,0
"MUSKEGON CO AIRPORT, MI US",5/2/2007,0.06,2.7,MICHIGAN,2007,"21,400",USW00014840,43.17111,-86.23685,190.3,18,0,9.84,1276.5,1784,59,48,190,100,18.45,25.5,1,1,1,1,1,1,0,0,0,0,0
"MUSKEGON CO AIRPORT, MI US",6/2/2007,0.03,0.9,MICHIGAN,2007,"21,400",USW00014840,43.17111,-86.23685,190.3,20,0,5.145,964,963.5,77,41,215,215,14.55,19.45,1,1,1,1,1,1,0,0,0,0,0
"MUSKEGON CO AIRPORT, MI US",7/2/2007,0,0,MICHIGAN,2007,"21,400",USW00014840,43.17111,-86.23685,190.3,20,0,6.26,1314,1314,74,50,240,230,13,15,1,1,1,1,1,1,0,0,0,0,0
"MUSKEGON CO AIRPORT, MI US",8/2/2007,0.01,0.3,MICHIGAN,2007,"21,400",USW00014840,43.17111,-86.23685,190.3,17,0,7.61,1618,1420,89,68,210,210,17,25.1,1,1,1,1,1,1,0,0,0,0,0
"MUSKEGON CO AIRPORT, MI US",9/2/2007,0.01,0.4,MICHIGAN,2007,"21,400",USW00014840,43.17111,-86.23685,190.3,16,0,7.105,1456.25,1091,80,60,215,210,15.325,20,1,1,1,1,1,1,0,0,0,0,0
"MUSKEGON CO AIRPORT, MI US",10/2/2007,0.04,1,MICHIGAN,2007,"21,400",USW00014840,43.17111,-86.23685,190.3,15,0,9.323333333,1575,1564,65,41.5,180,176.6666667,28.66666667,40.6,1,1,1,1,1,1,0,0,0,0,0
"MUSKEGON CO AIRPORT, MI US",11/2/2007,0,0.2,MICHIGAN,2007,"21,400",USW00014840,43.17111,-86.23685,190.3,15,0,8.445,1420.25,1233.25,56,25,205,240,20,24.3,1,1,1,1,1,1,0,0,0,0,0
"MUSKEGON CO AIRPORT, MI US",12/2/2007,0.04,0.9,MICHIGAN,2007,"21,400",USW00014840,43.17111,-86.23685,190.3,15,0,12.08,2226,57,43,30,300,280,29.1,40,1,1,1,1,1,1,0,0,0,0,0
"MUSKEGON CO AIRPORT, MI US",13/2/2007,0,0,MICHIGAN,2007,"21,400",USW00014840,43.17111,-86.23685,190.3,14,0,12.08,2226,57,43,30,300,280,29.1,40,1,1,1,1,1,1,0,0,0,0,0
"MUSKEGON CO AIRPORT, MI US",14/2/2007,0.06,1.1,MICHIGAN,2007,"21,400",USW00014840,43.17111,-86.23685,190.3,13,0,12.08,2226,57,43,30,300,280,29.1,40,1,1,1,1,1,1,0,0,0,0,0
"MUSKEGON CO AIRPORT, MI US",15/2/2007,0.02,0.3,MICHIGAN,2007,"21,400",USW00014840,43.17111,-86.23685,190.3,13,0,12.08,2226,57,43,30,300,280,29.1,40,1,1,1,1,1,1,0,0,0,0,0
"MUSKEGON CO AIRPORT, MI US",16/2/2007,0,0,MICHIGAN,2007,"21,400",USW00014840,43.17111,-86.23685,190.3,13,0,12.08,2226,57,43,30,300,280,29.1,40,1,1,1,1,1,1,0,0,0,0,0
"MUSKEGON CO AIRPORT, MI US",17/2/2007,0.16,3.7,MICHIGAN,2007,"21,400",USW00014840,43.17111,-86.23685,190.3,13,0,12.08,2226,57,43,30,300,280,29.1,40,1,1,1,1,1,1,0,0,0,0,0
"MUSKEGON CO AIRPORT, MI US",18/2/2007,0.01,0.2,MICHIGAN,2007,"21,400",USW00014840,43.17111,-86.23685,190.3,15,0,12.08,2226,57,43,30,300,280,29.1,40,1,1,1,1,1,1,0,0,0,0,0
"MUSKEGON CO AIRPORT, MI US",19/2/2007,0,0,MICHIGAN,2007,"21,400",USW00014840,43.17111,-86.23685,190.3,14,0,12.08,2226,57,43,30,300,280,29.1,40,1,1,1,1,1,1,0,0,0,0,0
