NAME,DATE,PRCP,AWND,PGTM,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT03,WT08,State,Year,Value,High Wind,Flood,Heat,Strong Wind,Excessive Heat,Cold/Wind Chill
"YORK AIRPORT, PA US",1/1/2007,0.79,3.13,2325,49,40,290,270,25.9,36.9,1,1,1,1,PENNSYLVANIA,2007,"22,600",0,0,0,0,0,0
"YORK AIRPORT, PA US",2/1/2007,0,7.61,2355,48,22,280,280,21.9,32,1,1,1,1,PENNSYLVANIA,2007,"22,600",0,0,0,0,0,0
"YORK AIRPORT, PA US",3/1/2007,0,1.79,1259,55,21,200,200,12.1,16.1,1,1,1,1,PENNSYLVANIA,2007,"22,600",0,0,0,0,0,0
"YORK AIRPORT, PA US",4/1/2007,0,1.57,1506,61,22,200,210,12.1,16.1,1,1,1,1,PENNSYLVANIA,2007,"22,600",0,0,0,0,0,0
"YORK AIRPORT, PA US",5/1/2007,0.1,5.14,2301,63,53,210,200,12.1,18.1,1,1,1,1,PENNSYLVANIA,2007,"22,600",0,0,0,0,0,0
"YORK AIRPORT, PA US",6/1/2007,0.13,10.51,1451,68,47,260,250,25.1,36.9,1,1,1,1,PENNSYLVANIA,2007,"22,600",0,0,0,0,0,0
"YORK AIRPORT, PA US",7/1/2007,0.71,3.8,2047,52,32,140,120,13,18.1,1,1,1,1,PENNSYLVANIA,2007,"22,600",0,0,0,0,0,0
"YORK AIRPORT, PA US",8/1/2007,0.35,10.29,1253,50,33,270,270,28,40,1,1,1,1,PENNSYLVANIA,2007,"22,600",0,0,0,0,0,0
"YORK AIRPORT, PA US",9/1/2007,0,8.28,1145,46,31,300,270,16.1,25.1,1,1,1,1,PENNSYLVANIA,2007,"22,600",0,0,0,0,0,0
"YORK AIRPORT, PA US",10/1/2007,0,10.74,1100,34,18,310,290,25.1,33.1,1,1,1,1,PENNSYLVANIA,2007,"22,600",0,0,0,0,0,0
"YORK AIRPORT, PA US",11/1/2007,0,2.68,1303,40,14,200,200,13,18.1,1,1,1,1,PENNSYLVANIA,2007,"22,600",0,0,0,0,0,0
"YORK AIRPORT, PA US",12/1/2007,0,2.91,1953,49,32,200,200,8.9,13,1,1,1,1,PENNSYLVANIA,2007,"22,600",0,0,0,0,0,0
"YORK AIRPORT, PA US",13/1/2007,0.06,1.79,1124,59,45,260,250,10.1,18.1,1,1,1,1,PENNSYLVANIA,2007,"22,600",0,0,0,0,0,0
"YORK AIRPORT, PA US",14/1/2007,0.04,0,2325,54,48,360,20,4.9,6,1,1,1,1,PENNSYLVANIA,2007,"22,600",0,0,0,0,0,0
"YORK AIRPORT, PA US",15/1/2007,0.02,3.58,2327,63,46,310,320,17,28,1,1,1,1,PENNSYLVANIA,2007,"22,600",0,0,0,0,0,0
"YORK AIRPORT, PA US",16/1/2007,0,13.87,459,56,25,290,290,25.9,35.1,1,1,1,1,PENNSYLVANIA,2007,"22,600",0,0,0,0,0,0
"YORK AIRPORT, PA US",17/1/2007,0,4.47,48,32,13,310,330,21,25.9,1,1,1,1,PENNSYLVANIA,2007,"22,600",0,0,0,0,0,0
"YORK AIRPORT, PA US",18/1/2007,0,1.79,1126,34,14,200,200,8.1,13,1,1,1,1,PENNSYLVANIA,2007,"22,600",0,0,0,0,0,0
"YORK AIRPORT, PA US",19/1/2007,0,9.84,1114,43,23,300,310,25.9,36.9,1,1,1,1,PENNSYLVANIA,2007,"22,600",0,0,0,0,0,0
